"Yazar", "Alıntı"
"Lao Tzu", "Eğer zihninizi düzeltirseniz, hayatınızın geri kalanı yerli yerine oturacaktır."
"Ralph Emerson", "Dünya, nereye gittiğini bilen adama yol verir."
"Napoleon Hill", "Arzularınız yeterince güçlü olduğunda, başarmak için insanüstü güçlere sahipmiş gibi görüneceksiniz."
"John Adams", "Sabır ve azim, zorlukların ortadan kalktığı ve engellerin yok olduğu sihirli bir etkiye sahiptir."
"Henry David Thoreau", "Günlerimi uzatamıyorum, bu yüzden onları daha iyi hale getirmek için çabalıyorum."
"Çin atasözü", "Gerginlik, olmanız gerektiğini düşündüğünüz kişidir. Gevşemek ise kim olduğunuzdur."
"Helen Keller", "Başınızı asla eğmeyin. Her zaman yüksek tutun. Dünyanın gözlerinin içine bak."
"Albert Schweitzer", "Engelleri aşarak güç kazanan kişi, zorlukların üstesinden gelebilecek tek güce sahiptir."
"Calvin Coolidge", "Her şeyi aynı anda yapamayız, ama aynı anda bir şeyler yapabiliriz."
"Abraham Lincoln", "Büyükbabanız ne kadar uzun boylu olursa olsun, kendi büyümenizi kendiniz yapmalısınız."
"", "Kendi dünyanızı icat edin. Etrafınızı sizi besleyen insanlar, renkler, sesler ve işlerle çevreleyin."
"General Douglas MacArthur", "Kazanma isteği olmadan herhangi bir savaşa girmek ölümcüldür."
"Julius Charles Hare", "Ne iseniz o olun. Bu, olduğunuzdan daha iyi olma yolundaki ilk adımdır."
"Buckminster Fuller", "Bir tırtılın içinde onun kelebek olacağını söyleyen hiçbir şey yoktur."
"Dalai Lama", "Sevgi ve şefkat kendi iç yaşamımızı açar, stresi, güvensizliği ve yalnızlığı azaltır."
"Walter Lippmann", "İdealler, mümkün olanın içinde arzu edilenin yaratıcı bir şekilde anlaşılmasıdır."
"Konfüçyüs", "Üstün insan tatmin olur ve sakinleşir; ortalama insan her zaman sıkıntı doludur."
"Bruce Lee", "Bir şey hakkında düşünmek için çok fazla zaman harcarsanız, asla yapamazsınız."
"Buddha", "Yol gökyüzünde değildir. Yol kalptedir."
"Abraham Lincoln", "Çoğu insan aklına koyduğu kadar mutludur."
"Buddha", "Üç şey uzun süre saklanamaz: Güneş, ay ve gerçek."
"Dalai Lama", "Çoğu zaman öfke, güçten ziyade zayıflığın bir göstergesidir."
"Jim Beggs", "Kaşlarınızı çatmadan önce, gülümseme olmadığından kesinlikle emin olun."
"Donald Kircher", "Yetenekli ve bir şeyler başarma arzusu olan bir adam her şeyi yapabilir."
"Buddha", "Siz, kendiniz, tüm evrendeki herkes kadar, sevginizi ve şefkatinizi hak ediyorsunuz."
"Eckhart Tolle", "İnsanların tüm hayatlarını yaşamaya başlamak için bekleyerek geçirmeleri alışılmadık bir durum değildir."
"H. Jackson Browne", "Riske girmekten korkmayın. Meyveler orada."
"Marquis Vauvenargues", "Kötü insanlar, iyi olanlarda yetenek bulduklarında her zaman şaşırırlar."
"Charlotte Bronte", "Hayat öyle kurgulanmıştır ki, bir olay beklentiyle uyuşmaz, uyuşamaz, uyuşmayacaktır."
"Wayne Dyer", "Eğer olaylara bakış açınızı değiştirirseniz, baktığınız şeyler de değişir."
"Napoleon Hill", "Hiç kimse sevmediği bir işte başarılı olamaz."
"Buddha", "Öfkeniz için cezalandırılmayacaksınız, öfkeniz tarafından cezalandırılacaksınız."
"Robert Stevenson", "Her günü biçtiğiniz hasada göre değil, ektiğiniz tohumlara göre değerlendirin."
"Andy Warhol", "Zamanın her şeyi değiştirdiğini söylerler, ama aslında onları kendiniz değiştirmelisiniz."
"Benjamin Disraeli", "Duygularınızı gösterdiğiniz için asla özür dilemeyin. Bunu yaptığınızda, gerçek için özür dilemiş olursunuz."
"Pema Chodron", "İnandığınız ve tutunduğunuz gerçek, sizi yeni bir şey duymaya elverişsiz hale getirir."
"Horace", "Sıkıntılar, müreffeh koşullarda uykuda olan yetenekleri ortaya çıkarma etkisine sahiptir."
"Morris West", "Tüm hayatınızı fırtınayı bekleyerek geçirirseniz, güneşin tadını asla çıkaramazsınız."
"Franklin Roosevelt", "Yarını gerçekleştirmemizin tek sınırı, bugüne dair şüphelerimiz olacaktır."
"Edwin Chapin", "Hayatımızdaki her eylem, sonsuzlukta titreşecek bir akora dokunur."
"Les Brown", "Aya ateş et. Iskalasanız bile, yıldızların arasına ineceksiniz."
"Konfüçyüs", "Durmadığınız sürece ne kadar yavaş gittiğiniz önemli değildir."
"", "Her gün iyi olmayabilir, ama her günün içinde iyi bir şey vardır."
"Abraham Lincoln", "Çoğu insan aklına koyduğu kadar mutludur."
"Lao Tzu", "Eğer almak istiyorsan, önce vermelisin, bu zekanın başlangıcıdır."
"", "Bazı insanlar insanı güçlü yapanın tutmak olduğunu düşünür, bazen de bırakmak."
"Havelock Ellis", "Yeni, farklı ve daha iyi bir başarıyı başarısızlıklarımıza dayandırırız."
"John Ruskin", "Kalite asla bir tesadüf değildir; her zaman akıllı bir çabanın sonucudur."
"Konfüçyüs", "Çalışmak ve düşünmemek bir kayıptır. Düşünmek ve çalışmamak tehlikelidir."
"Ralph Emerson", "Hayat, anlaşılması için yaşanması gereken bir dizi derstir."
"Thomas Hardy", "Zaman her şeyi değiştirir, içimizde değişime her zaman şaşıran bir şey hariç."
"Wayne Dyer", "İstemek için yeterince önemlisiniz ve geri almak için yeterince kutsanmışsınız."
"Napoleon Hill", "Eğer büyük şeyler yapamıyorsanız, küçük şeyleri büyük bir şekilde yapın."
"Oprah Winfrey", "Hayatınızın daha ödüllendirici olmasını istiyorsanız, düşünme şeklinizi değiştirmelisiniz."
"Byron Pulsifer", "Dönüşüm bir boşlukta gerçekleşmez; bunun yerine, etrafımızdaki herkesle dolaylı ve doğrudan bağlantılı olduğumuzda gerçekleşir."
"Leonardo Ruiz", "Sizin yeteneklerinizle diğerleri arasındaki tek fark, kendinizi onların yerine koyma ve gerçekten deneme yeteneğidir."
"Leon Blum", "Özgür insan, düşüncesinin sonuna kadar gitmekten korkmayan insandır."
"Ralph Emerson", "Maneviyatın her türlü maddi güçten daha güçlü olduğunu, düşüncelerin dünyayı yönettiğini görenler büyüktür."
"Bernard Shaw", "Hata yaparak geçirilen bir hayat, hiçbir şey yapmadan geçirilen bir hayattan sadece daha onurlu değil, aynı zamanda daha yararlıdır."
"Lao Tzu", "Bilge adam kendi hazinelerini biriktirmez. Başkalarına ne kadar çok verirse, kendine o kadar çok kalır."
"Charles Dickens", "Çevrilmedik taş bırakmayın. Elinizden gelenin en iyisini yaptığınızı bilmek her zaman bir şeydir."
"Dalai Lama", "Kendi sorunlarınızın ötesine geçerek ve başkalarıyla ilgilenerek, içsel güç, özgüven, cesaret ve daha büyük bir sakinlik duygusu kazanırsınız."
"Sam Keen", "Mükemmel bir insan bularak değil, kusurlu bir insanı mükemmel görmeyi öğrenerek sevmeye başlarız."
"Walt Emerson", "Arkamızda ve önümüzde yatanlar, içimizde yatanlara kıyasla çok küçük meselelerdir."
"John Astin", "O kadar derin ve karmaşık şeyler vardır ki, insan olarak gelişim aşamamızda bunlara yalnızca sezgilerimiz ulaşabilir."
"Elbert Hubbard", "Biraz daha ısrar, biraz daha çaba ve umutsuz başarısızlık gibi görünen şey görkemli bir başarıya dönüşebilir."
"Henry Moore", "Bir sanatçı için emeklilik yoktur, bu sizin yaşam biçiminizdir, bu yüzden sonu yoktur."
"Konfüçyüs", "Başkalarının beni tanımamasından endişe duymayacağım; kendi yetenek eksikliğimden endişe duyacağım."
"", "Size bağlı olan şeyleri kontrol etmekle meşgul olmak varken neden kontrol edemeyeceğiniz şeyler için endişelenesiniz ki?"
"Laozi", "Sadece kendiniz olmaktan memnun olduğunuzda ve kıyaslama ya da rekabet yapmadığınızda, herkes size saygı duyacaktır."
"William Shakespeare", "Büyüklükten korkmayın: Bazıları büyük doğar, bazıları büyüklüğe ulaşır ve bazıları da büyüklük tarafından itilir."
"George Sheehan", "Başarı, olmanız gerektiğine inandığınız kişi olmak için gereken cesarete, kararlılığa ve iradeye sahip olmak demektir."
"Thomas Jefferson", "Kim olduğunuzu bilmek ister misiniz? Sorma. Harekete geçin! Eylem sizi belirleyecek ve tanımlayacaktır."
"Antoine de Saint-Exupery", "İnsan sadece kalbiyle doğru görebilir, esas olan gözle görülmez."
"Marcel Proust", "Bizi mutlu eden insanlara minnettar olalım; onlar ruhlarımızı çiçeklendiren büyüleyici bahçıvanlardır."
"Epictetus", "Gücünüzün yettiği şeyleri en iyi şekilde kullanın ve gerisini olduğu gibi kabul edin."
"Louise Hay", "Düşünmeyi seçtiğimiz düşünceler, hayatımızın tuvalini boyamak için kullandığımız araçlardır."
"W. Clement Stone", "Hedeflerinizi ne kadar dikkatle planlarsanız planlayın, onların peşinden şevkle gitmediğiniz sürece asla boş hayaller olmaktan öteye gidemeyeceklerdir."
"Robert McKain", "Çoğu hedefe ulaşılamamasının nedeni, zamanımızı önce ikinci şeyleri yaparak geçirmemizdir."
"John Quincy Adams", "Eğer eylemleriniz başkalarına daha fazla hayal kurma, daha fazla öğrenme, daha fazlasını yapma ve daha fazlası olma konusunda ilham veriyorsa, siz bir lidersiniz demektir."
"Thomas Jefferson", "Şansa çok inanırım ve ne kadar çok çalışırsam, o kadar çok şansa sahip olduğumu görüyorum."
"Ralph Emerson", "Kendinizi reddederek harcamayın, kötüye karşı havlamayın, iyinin güzelliğini söyleyin."
"Johann Wolfgang von Goethe", "Kullanması gereken bir yetenekle doğan kişi, en büyük mutluluğu onu kullanırken bulacaktır."
"William Saroyan", "İyi insanlar iyidir çünkü başarısızlık yoluyla bilgeliğe ulaşmışlardır. Başarıdan çok az bilgelik elde ederiz, bilirsiniz."
"Byron Pulsifer", "Kaderiniz sadece kader değildir; istediğinizi elde etmek için kendi geliştirdiğiniz yeteneklerinizi nasıl kullandığınızdır."
"Leonardo da Vinci", "Demir kullanılmadığı için paslanır; su durgunluktan saflığını kaybeder... eylemsizlik de zihnin gücünü azaltır."
"Isaac Asimov", "Hatalı olan ince bir düşünce, yine de çok değerli gerçekleri ortaya çıkarabilecek verimli bir araştırmaya yol açabilir."
"Henry Van Dyke", "Hayattan memnun olun çünkü size sevme, çalışma, oynama ve yıldızlara bakma şansı veriyor."
"Yogi Berra", "Nereye gittiğinizi bilmiyorsanız dikkatli olmalısınız, çünkü oraya varamayabilirsiniz."
"Naguib Mahfouz", "Bir adamın zeki olup olmadığını verdiği cevaplardan anlayabilirsiniz. Bir insanın bilge olup olmadığını sorularından anlayabilirsiniz."
"Anthony Robbins", "Hayat bir armağandır ve bize daha fazlası olarak bir şeyler verme ayrıcalığını, fırsatını ve sorumluluğunu sunar"
"John Wooden", "Övgü ya da eleştirinin sizi etkilemesine izin veremezsiniz. İkisine de kapılmak bir zayıflıktır."
"Og Mandino", "Bana yolu gösterdiği için ışığı seveceğim, ama bana yıldızları gösterdiği için karanlığa da katlanacağım."
"Jane Addams", "Şüphelerimiz hainliktir ve girişimde bulunmaktan korktuğumuz için çoğu zaman kazanabileceğimiz iyilikleri kaybetmemize neden olur."
"Thomas Carlyle", "İnsan doğası gereği değişimden nefret eder; eski evini, o ev gerçekten kulaklarının dibine düşene kadar nadiren terk eder."
"M. Scott Peck", "Kendinize değer verene kadar, zamanınıza değer vermeyeceksiniz. Zamanınıza değer vermedikçe, onunla hiçbir şey yapamazsınız."
"Maureen Dowd", "Hak ettiğinizden daha azına razı olduğunuz anda, razı olduğunuzdan daha azını elde edersiniz."
"Charles Darwin", "Ahlakta varabileceğimiz en yüksek aşama, düşüncelerimizi kontrol etmemiz gerektiğini fark ettiğimiz zamandır."
"", "Doğru yönde birçok küçük adım atmak, ileriye doğru büyük bir sıçrama yapıp geriye doğru tökezlemekten daha iyidir."
"Dalai Lama", "Olumlu bir zihinsel tutuma sahipsek, etrafımız düşmanlıkla çevrili olsa bile iç huzurumuzdan yoksun kalmayız."
"Christopher Morley", "Tek bir başarı vardır, hayatınızı kendi bildiğiniz gibi geçirebilmek."
"Hannah Arendt", "Vaatler, geleceği düzenlemenin, onu insani olarak mümkün olduğu ölçüde öngörülebilir ve güvenilir kılmanın benzersiz insani yoludur."
"Alan Cohen", "Takdir, duanın en yüksek biçimidir; çünkü şükran dolu düşüncelerinizin ışığını tuttuğunuz her yerde iyinin varlığını kabul eder."
"Aldous Huxley", "Evrende iyileştirebileceğinizden emin olabileceğiniz tek bir köşe vardır, o da kendi benliğinizdir."
"Marian Edelman", "Kazanmak zorunda değilsiniz. Her gün elinizden gelenin en iyisini yapmaya çalışmakla yükümlüsünüz."
"Byron Pulsifer", "İşler kolayken herkes başarının tadına varabilir, ancak çok az kişi zor zamanlarda zaferin tadına varmayı bilir."
"Sue Patton Thoele", "Derinlemesine dinlemek hem dinleyen hem de konuşan için mucizevidir. Biri bizi açık yüreklilikle, yargılamadan, yoğun bir ilgiyle dinlediğinde, ruhumuz genişler."
"Frank Crane", "Çok fazla güvenirseniz aldatılabilirsiniz, ama yeterince güvenmezseniz azap içinde yaşarsınız."
"Lao Tzu", "Tüm varlıkların başlangıcını borçlu olduğu ve tüm cennete nüfuz eden Yaratıcı'nın yüceliği gerçekten de büyüktür."
"Kathleen Norris", "Gerekli olan tek şey, imkansızı kabul etmek, vazgeçilmez olanı yapmamak ve tahammül edilemez olana katlanmaktır."
"Konfüçyüs", "Sevdiğiniz bir işi seçin, hayatınızda bir gün bile çalışmak zorunda kalmazsınız."
"Eckhart Tolle", "Geçmişe giderek kendinizi bulamazsınız. Kendinizi şimdiki zamana gelerek bulabilirsiniz."
"Anne Bronte", "Tüm yeteneklerimiz kullanıldıkça artar ve hem iyi hem de kötü tüm yetenekler egzersizle güçlenir."
"Richard Bach", "Özgür ve mutlu yaşamak için can sıkıntısını feda etmelisiniz. Bu her zaman kolay bir fedakarlık değildir."
"Desiderius Erasmus", "Tilkinin birçok numarası vardır. Kirpinin ise sadece bir tane. Ama bu hepsinden daha iyidir."
"Arthur Rubinstein", "Elbette başarının bir formülü yoktur, belki de hayatı ve getirdiklerini koşulsuz kabullenmek dışında."
"Louis Pasteur", "Beni hedefime ulaştıran sırrı size söyleyeyim: Gücüm yalnızca azmimde yatıyor"
"Rumi", "Bir şey kanatlarımızı açar. Bir şey can sıkıntısını ve acıyı yok eder. Biri önümüzdeki bardağı doldurur: Sadece kutsallığı tadarız."
"Sogyal Rinpoche", "Eylemlerimiz, sözlerimiz ve düşüncelerimiz aracılığıyla bir seçeneğe sahip olduğumuzu asla unutmamalıyız."
"Dennis Kimbro", "Olayları oldukları gibi değil, kendimiz olduğumuz gibi görürüz. Algımız önceki deneyimlerimiz tarafından şekillendirilir."
"William Penn", "Gerçek sessizlik zihnin dinlenmesidir; uyku beden için ne ise, ruh için de odur, beslenme ve tazelenmedir."
"Immanuel Kant", "Tüm bilgimiz duyularla başlar, sonra anlayışa doğru ilerler ve akılla sona erer. Akıldan daha yüksek bir şey yoktur."
"Buddha", "Düşünce söz olarak tezahür eder. Söz, eylem olarak tezahür eder. Eylem alışkanlığa dönüşür. Ve alışkanlık karaktere dönüşür."
"", "Dünyanın geri kalanı kapıdan çıkarken, en iyi arkadaşlarınız içeri girenlerdir."
"Byron Pulsifer", "Sabır bir erdemdir ama sabır yerine eylemi kullanmazsanız hiçbir zaman hiçbir şey başaramazsınız."
"Robert Lynd", "Erdemden kastımız sadece bizi cezbetmeyen kötü alışkanlıklardan kaçınmaksa, her birimiz erdeme ulaşabiliriz."
"Ralph Emerson", "Eğer tek bir adam içgüdülerinin üzerine kararlılıkla yerleşir ve orada kalırsa, koskoca dünya ona doğru gelecektir."
"Donald Trump", "Para benim için hiçbir zaman büyük bir motivasyon olmadı, skor tutmanın bir yolu olması dışında. Asıl heyecan oyunu oynamaktır."
"Eleanor Roosevelt", "İnsanın kendisiyle dostluğu çok önemlidir, çünkü bu olmadan dünyada başka hiç kimseyle dost olamazsınız."
"Robert Fulghum", "Barış dilediğiniz bir şey değildir. Yaptığınız bir şeydir, yaptığınız bir şeydir, olduğunuz bir şeydir ve verdiğiniz bir şeydir."
"Bruce Lee", "Akıllı bir adam aptalca bir sorudan, aptalın akıllıca bir cevaptan öğrenebileceğinden daha fazlasını öğrenebilir."
"Arthur Schopenhauer", "Her insan kendi görüş alanının sınırlarını dünyanın sınırları olarak kabul eder."
"Andre Gide", "İnsan, kıyıyı çok uzun bir süre gözden kaybetmeye razı olmadan yeni topraklar keşfedemez."
"Sai Baba", "Dünyada yeni olan ne var? Hiçbir şey. Dünyada eski olan nedir? Hiçbir şey. Her şey her zaman vardı ve her zaman var olacak."
"Dalai Lama", "Gerçek sevgi önce kişinin kendisine yönelik olmalıdır. eğer kendimizi sevmezsek, başkalarını nasıl sevebiliriz?"
"Tom Lehrer", "Hayat bir kanalizasyon gibidir. Ondan ne elde edeceğiniz, içine ne koyduğunuza bağlıdır."
"Bruce Lee", "En sert ağacın en kolay kırılan ağaç olduğunu, bambu ya da söğüdün ise rüzgarla birlikte eğilerek hayatta kaldığını fark edin."
"Alfred Sheinwold", "Başkalarının hatalarından öğrenebileceğiniz her şeyi öğrenin. Hepsini kendiniz yapmak için zamanınız olmayacak."
"Sri Chinmoy", "Hiçbir şeyi yargılama, mutlu olacaksın. Her şeyi affedin, daha mutlu olacaksınız. Her şeyi sev, en mutlu sen olacaksın."
"Johann Wolfgang von Goethe", "İnsanlar öyle bir yapıya sahiptir ki, yetenekleri olsun ya da olmasın, herkes başkalarının yaptığını gördüğü işi yapmayı tercih eder."
"James Freeman Clarke", "Her zaman ya ilerliyoruz ya da geriliyoruz. Bu hayatta sabit kalmak diye bir şey yoktur."
"Anais Nin", "Bilgiye sahip olmak merak ve gizem duygusunu öldürmez. Her zaman daha fazla gizem vardır."
"Marcus Aurelius", "Olan her şey olması gerektiği gibi olur ve eğer dikkatlice gözlemlerseniz, bunun böyle olduğunu göreceksiniz."
"Wayne Dyer", "Düşündüklerimiz başımıza gelenleri belirler, bu yüzden hayatımızı değiştirmek istiyorsak zihnimizi esnetmemiz gerekir."
"Buddha", "Bir tartışmada öfke hissettiğimiz anda, gerçek için çabalamayı çoktan bırakmış ve kendimiz için çabalamaya başlamışızdır."
